Nome,Cidade,WhatsApp,Instagram,Perfil,Dor Principal
Clássico Beach Club,Rio de Janeiro,(21) 96738-7848,@classicobeachclub,Beach Club,"Múltiplas unidades, mesas na areia. Garçom demora no sol."
Quiosque Cavalo Marinho,Rio de Janeiro,(21) 96406-7888,@quiosquecavalomarinho,Beach Club,"Área de reserva, mesas muito distantes. Longo percurso de atendimento."
Match Beach Club,Rio de Janeiro,(21) 97125-8080,@matchbeachclub,Beach Club,Fluxo de Beach Tennis. Pedidos rápidos entre partidas.
Sel d'Ipanema,Rio de Janeiro,(21) 99880-7979,@sel_dipanema,Beach Club,Turistas internacionais. Necessidade de IA Multilíngue.
Big Bar Rooftop,Balneário Camboriú,(47) 99219-0549,@bigbar_rooftop,Rooftop,"Terraço amplo sob roda gigante. Garçom sobe/desce ou circula muito."
Chaplin Bar,Balneário Camboriú,(47) 95690-0927,@chaplinrestaurante,Restaurante Orla,Fluxo massivo de pedestres. Re-pedidos de bebidas travados.
Píer Club,Balneário Camboriú,Contatar IG,@pierclub_,Náutico,Pedidos vindos de barcos. Preparação antecipada do pedido.
Didge Australian Bar,Balneário Camboriú,(47) 99159-7676,@didgebc,Restaurante Grande,Ambientes internos grandes. Ruído alto dificulta chamar garçom.
Pipa Beach Club,Salvador,(71) 99990-0000,@pipa.beachclub,Beach Club,Primeiro beach club de Salvador. Área externa imensa na areia.
Hibiscus Beach Club,Maceió,(82) 3234-1120,@hibiscusbeachclub,Beach Club,Referência em Ipioca. Day use com centenas de espreguiçadeiras.
Lopana,Maceió,(82) 99101-9325,@lopanamaceio,Beach Club,Embarcação e mesas na orla. Atendimento na areia e no mar.
Kanoa Beach Club,Maceió,(82) 3235-3915,@kanoabeachclub,Beach Club,Famoso pelo 'Kanoa no Mar'. Atendimento em balsas e mesas.
Ahau Beach,Fortaleza,(85) 99990-0000,@ahaubeach,Beach Club,Praia do Futuro. Barracas de praia gigantes com centenas de mesas.
Sky Bar Rooftop,Foz do Iguaçu,Contatar IG,@skybar.rooftop,Rooftop,Vista da Tríplice Fronteira. Agilidade em drinks para contemplação.
Seen Restaurant & Bar,São Paulo,(11) 3146-5923,@seen_sp,Rooftop,"Terraço de luxo no Hotel Tivoli. Fluxo intenso de drinks no balcão/mesas."
Terrazza Rooftop,São Paulo,(11) 97382-4576,@terrazzarooftop,Rooftop,Ambiente amplo com mesas espalhadas. Agilidade no giro de mesas.
Tetto Rooftop Lounge,São Paulo,(11) 93932-3212,@tettolounge,Rooftop,Dining club com fluxo de balada. Pedidos rápidos em mesas VIP.
Badauê Maresias,São Sebastião,(12) 3865-7243,@restaurante_badaue,Pé na Areia,Deck de madeira extenso na areia. Atendimento distante da base.
Os Alemão,São Sebastião,(12) 3865-6644,@osalemao_maresias,Pé na Areia,Tradicional em Maresias. Serviço de praia em área ampla.
Deck Restaurante,Itanhaém,(13) 3426-3435,@deckrestaurante,Deck Orla,Especializado em frutos do mar com deck direto no mar.
Guacamole BC,Balneário Camboriú,(47) 99159-7676,@guacamolebc,Restaurante Grande,Restaurante temático com grande fluxo e vários salões.
Olívia Rooftop,São Paulo,Contatar IG,@oliviarooftop,Rooftop,Eventos e jantares românticos. Necessidade de atendimento discreto.
